L_base,L_gate,L_rot,acc_base,acc_mlp,acc_oracle,acc_rot,alarm_rate,bias,c,d,delta_p,mean_c,mlp_params,norm_dev,null_tail,orth_max,p_null,p_real,p_tail,precision,q,r,r2_base,r2_rot,rho_at_c_minus1,rot_rate,se,tau,tau_c,var_c
0.20999997854232788,0.20999997854232788,0.203000009059906,,,,,,,-0.3,,,,,2.384185791015625e-07,,8.149072527885437e-08,,,,,Q3Q4,0.5,0.38155531883239746,0.38155531883239746,,0.0,,,,
0.19199997186660767,0.19199997186660767,0.19199997186660767,,,,,,,0.0,,,,,1.1920928955078125e-07,,1.6530975699424744e-08,,,,,Q3Q4,0.5,0.4830233156681061,0.4830233156681061,,0.0,,,,
0.16600000858306885,0.16600000858306885,0.17549997568130493,,,,,,,0.3,,,,,2.384185791015625e-07,,8.940696716308594e-08,,,,,Q3Q4,0.5,0.6210232973098755,0.6210232973098755,,0.0,,,,
0.14300000667572021,0.14300000667572021,0.1524999737739563,,,,,,,0.5,,,,,2.384185791015625e-07,,1.1827796697616577e-07,,,,,Q3Q4,0.5,0.7225694060325623,0.7225694060325623,,0.0,,,,
0.09700000286102295,0.09700000286102295,0.1340000033378601,,,,,,,0.8,,,,,3.5762786865234375e-07,,2.4028122425079346e-07,,,,,Q3Q4,0.5,0.8865745067596436,0.8865745067596436,,0.0,,,,
0.045499980449676514,0.045499980449676514,0.15450000762939453,,,,,,,1.0,,,,,3.5762786865234375e-07,,0.0003453886602073908,,,,,Q3Q4,0.5,1.0,1.0,,0.0,,,,
0.5024999976158142,0.24849998950958252,0.24849998950958252,,,,,,,-1.0,,,,,3.5762786865234375e-07,,0.0006907591596245766,,,,,Q3Q4,1.0,-0.000408402644097805,0.482876718044281,,1.0,,,,
0.43849998712539673,0.3309999704360962,0.3309999704360962,,,,,,,-0.9,,,,,5.960464477539062e-07,,7.925555109977722e-07,,,,,Q3Q4,1.0,0.018511690199375153,0.28012579679489136,,1.0,,,,
0.43150001764297485,0.43150001764297485,0.33899998664855957,,,,,,,-0.8,,,,,3.5762786865234375e-07,,5.066394805908203e-07,,,,,Q3Q4,1.0,0.07002795487642288,0.07002795487642288,,0.0,,,,
0.3945000171661377,0.3945000171661377,0.3475000262260437,,,,,,,-0.7,,,,,2.384185791015625e-07,,3.417953848838806e-07,,,,,Q3Q4,1.0,0.12121414393186569,0.12121414393186569,,0.0,,,,
0.3370000123977661,0.3370000123977661,0.3100000023841858,,,,,,,-0.5,,,,,2.384185791015625e-07,,2.384185791015625e-07,,,,,Q3Q4,1.0,0.22508645057678223,0.22508645057678223,,0.0,,,,
0.3009999990463257,0.3009999990463257,0.2954999804496765,,,,,,,-0.3,,,,,2.384185791015625e-07,,1.3224780559539795e-07,,,,,Q3Q4,1.0,0.32831794023513794,0.32831794023513794,,0.0,,,,
0.281499981880188,0.281499981880188,0.281499981880188,,,,,,,0.0,,,,,1.1920928955078125e-07,,3.725290298461914e-08,,,,,Q3Q4,1.0,0.4830018877983093,0.4830018877983093,,0.0,,,,
0.20099997520446777,0.20099997520446777,0.21649998426437378,,,,,,,0.3,,,,,2.384185791015625e-07,,1.564621925354004e-07,,,,,Q3Q4,1.0,0.6382164359092712,0.6382164359092712,,0.0,,,,
0.18000000715255737,0.18000000715255737,0.19550001621246338,,,,,,,0.5,,,,,2.384185791015625e-07,,2.4866312742233276e-07,,,,,Q3Q4,1.0,0.741461992263794,0.741461992263794,,0.0,,,,
0.12150001525878906,0.12150001525878906,0.20249998569488525,,,,,,,0.8,,,,,3.5762786865234375e-07,,4.4517219066619873e-07,,,,,Q3Q4,1.0,0.8965436816215515,0.8965436816215515,,0.0,,,,
0.058000028133392334,0.058000028133392334,0.2639999985694885,,,,,,,1.0,,,,,3.5762786865234375e-07,,0.0006907731294631958,,,,,Q3Q4,1.0,1.0,1.0,,0.0,,,,
0.03750002384185791,0.03750002384185791,0.35850000381469727,,,,,,,-1.0,,,,,4.76837158203125e-07,,0.0013815592974424362,,,,,Q3Q4,2.0,1.0,1.0,,0.0,,,,
0.16850000619888306,0.16850000619888306,0.46549999713897705,,,,,,,-0.9,,,,,5.960464477539062e-07,,1.255422830581665e-06,,,,,Q3Q4,2.0,0.648662269115448,0.648662269115448,,0.0,,,,
0.19450002908706665,0.19450002908706665,0.4829999804496765,,,,,,,-0.8,,,,,3.5762786865234375e-07,,8.996576070785522e-07,,,,,Q3Q4,2.0,0.48281803727149963,0.48281803727149963,,0.0,,,,
0.2200000286102295,0.2200000286102295,0.4194999933242798,,,,,,,-0.7,,,,,3.5762786865234375e-07,,6.780028343200684e-07,,,,,Q3Q4,2.0,0.4004715085029602,0.4004715085029602,,0.0,,,,
0.22450000047683716,0.22450000047683716,0.34450000524520874,,,,,,,-0.5,,,,,2.384185791015625e-07,,5.289912223815918e-07,,,,,Q3Q4,2.0,0.3554784953594208,0.3554784953594208,,0.0,,,,
0.20550000667572021,0.20550000667572021,0.2760000228881836,,,,,,,-0.3,,,,,2.384185791015625e-07,,2.7939677238464355e-07,,,,,Q3Q4,2.0,0.3803989589214325,0.3803989589214325,,0.0,,,,
0.19550001621246338,0.19550001621246338,0.19550001621246338,,,,,,,0.0,,,,,1.1920928955078125e-07,,6.332993507385254e-08,,,,,Q3Q4,2.0,0.48282283544540405,0.48282283544540405,,0.0,,,,
0.16399997472763062,0.16399997472763062,0.13349997997283936,,,,,,,0.3,,,,,2.384185791015625e-07,,2.942979335784912e-07,,,,,Q3Q4,2.0,0.6198814511299133,0.6198814511299133,,0.0,,,,
0.13999998569488525,0.13999998569488525,0.12150001525878906,,,,,,,0.5,,,,,2.384185791015625e-07,,5.327165126800537e-07,,,,,Q3Q4,2.0,0.7228748202323914,0.7228748202323914,,0.0,,,,
0.10000002384185791,0.10000002384185791,0.1940000057220459,,,,,,,0.8,,,,,3.5762786865234375e-07,,8.773058652877808e-07,,,,,Q3Q4,2.0,0.8864569664001465,0.8864569664001465,,0.0,,,,
0.036499977111816406,0.036499977111816406,0.37599998712539673,,,,,,,1.0,,,,,3.5762786865234375e-07,,0.0013815611600875854,,,,,Q3Q4,2.0,1.0,1.0,,0.0,,,,
0.045499980449676514,0.045499980449676514,0.4309999942779541,,,,,,,-1.0,,,,,3.5762786865234375e-07,,0.0027631036937236786,,,,,Q3Q4,4.0,1.0,1.0,,0.0,,,,
0.07200002670288086,0.07200002670288086,0.4754999876022339,,,,,,,-0.9,,,,,5.960464477539062e-07,,2.4884939193725586e-06,,,,,Q3Q4,4.0,0.8296436667442322,0.8296436667442322,,0.0,,,,
0.08700001239776611,0.08700001239776611,0.3945000171661377,,,,,,,-0.8,,,,,3.5762786865234375e-07,,1.9073486328125e-06,,,,,Q3Q4,4.0,0.701408326625824,0.701408326625824,,0.0,,,,
0.10799998044967651,0.10799998044967651,0.35350000858306885,,,,,,,-0.7,,,,,3.5762786865234375e-07,,1.4491379261016846e-06,,,,,Q3Q4,4.0,0.6075020432472229,0.6075020432472229,,0.0,,,,
0.12050002813339233,0.12050002813339233,0.2630000114440918,,,,,,,-0.5,,,,,2.384185791015625e-07,,9.98377799987793e-07,,,,,Q3Q4,4.0,0.49361300468444824,0.49361300468444824,,0.0,,,,
0.13450002670288086,0.13450002670288086,0.20349997282028198,,,,,,,-0.3,,,,,2.384185791015625e-07,,5.662441253662109e-07,,,,,Q3Q4,4.0,0.45296603441238403,0.45296603441238403,,0.0,,,,
0.13849997520446777,0.13849997520446777,0.13849997520446777,,,,,,,0.0,,,,,1.1920928955078125e-07,,1.30385160446167e-07,,,,,Q3Q4,4.0,0.48238226771354675,0.48238226771354675,,0.0,,,,
0.1054999828338623,0.1054999828338623,0.08700001239776611,,,,,,,0.3,,,,,2.384185791015625e-07,,5.662441253662109e-07,,,,,Q3Q4,4.0,0.5881423354148865,0.5881423354148865,,0.0,,,,
0.09299999475479126,0.09299999475479126,0.125,,,,,,,0.5,,,,,2.384185791015625e-07,,9.5367431640625e-07,,,,,Q3Q4,4.0,0.6860647797584534,0.6860647797584534,,0.0,,,,
0.06400001049041748,0.06400001049041748,0.24000000953674316,,,,,,,0.8,,,,,3.5762786865234375e-07,,1.7285346984863281e-06,,,,,Q3Q4,4.0,0.8645826578140259,0.8645826578140259,,0.0,,,,
0.03600001335144043,0.03600001335144043,0.453499972820282,,,,,,,1.0,,,,,3.5762786865234375e-07,,0.0027630403637886047,,,,,Q3Q4,4.0,1.0,1.0,,0.0,,,,
,,,0.4984999895095825,0.5072500109672546,0.9605000019073486,0.7450000047683716,,,-1.0,,,,12481,,,,,,,,Q5,1.0,,,,,,,,
,,,0.5615000128746033,0.7297499775886536,0.9365000128746033,0.6830000281333923,,,-0.9,,,,12481,,,,,,,,Q5,1.0,,,,,,,,
,,,0.6489999890327454,0.8332499861717224,0.9355000257492065,0.6524999737739563,,,-0.7,,,,12481,,,,,,,,Q5,1.0,,,,,,,,
,,,0.9599999785423279,1.0,0.9599999785423279,0.6445000171661377,,,-1.0,,,,12481,,,,,,,,Q5,2.0,,,,,,,,
,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,REAL,,,,,,1.3975424859373686e-06,-0.5,,
,,,,,,,,,,,0.009765625,,,,,,0.0,0.009765625,,,REAL,,,,,,0.0030730460268540483,-0.25,,
,,,,,,,,,,,-0.158203125,,,,,,0.4873046875,0.3291015625,,,REAL,,,,,,0.02143833255263317,0.0,,
,,,,,,,,,,,-0.458984375,,,,,,1.0,0.541015625,,,REAL,,,,,,0.01557233999612585,0.25,,
