config,method,recon_mse,r2_mean,r2_min,c_mse,c_corr,c_hat_mae
b=-0.3 *,Summe (Baseline),0.2292332500219345,-104.07072448730469,-191.6619873046875,0.010581920854747295,,
b=-0.3 *,Referenz [Summe|Differenz],0.001246912288479507,0.43954288959503174,-0.023644328117370605,0.001399638713337481,,
b=-0.3 *,D-LoRA (gelernt),0.0017583244480192661,0.22584956884384155,-0.4079371690750122,0.0014511441113427281,,0.0006996070733293891
b=-0.2 *,Summe (Baseline),0.1632886677980423,-159.60128784179688,-307.806396484375,0.013578654266893864,,
b=-0.2 *,Referenz [Summe|Differenz],0.0012775994837284088,-0.21055012941360474,-1.320275068283081,0.0013843318447470665,,
b=-0.2 *,D-LoRA (gelernt),0.0016720285639166832,-0.7315898537635803,-2.343502998352051,0.001596637535840273,,0.008919062092900276
b=-0.1 *,Summe (Baseline),0.10679842531681061,-414.7184753417969,-821.9627075195312,0.014733687043190002,,
b=-0.1 *,Referenz [Summe|Differenz],0.0012547096703201532,-3.9725356101989746,-8.84730052947998,0.001367370830848813,,
b=-0.1 *,D-LoRA (gelernt),0.0017148988554254174,-5.525486946105957,-11.911872863769531,0.0016496441094204783,,0.0003506512148305774
b=+0.0 *,Summe (Baseline),0.06347331404685974,-1.3790805339813232,-3.7581610679626465,0.01860642619431019,,
b=+0.0 *,Referenz [Summe|Differenz],0.0012814230285584927,0.9534493088722229,0.9068986177444458,0.0014098645187914371,,
b=+0.0 *,D-LoRA (gelernt),0.0016937382752075791,0.9384950995445251,0.8769901990890503,0.0018169479444622993,,0.08239732682704926
b=+0.1 *,Summe (Baseline),0.03127870708703995,-112.31866455078125,-223.26126098632812,0.021747056394815445,,
b=+0.1 *,Referenz [Summe|Differenz],0.001285830046981573,-3.582758665084839,-8.066311836242676,0.0013582793762907386,,
b=+0.1 *,D-LoRA (gelernt),0.0018483416642993689,-5.7369561195373535,-12.334324836730957,0.002058451296761632,,0.0002383977989666164
b=+0.2 *,Summe (Baseline),0.010542580857872963,-8.340312957763672,-16.829425811767578,0.02419438585639,,
b=+0.2 *,Referenz [Summe|Differenz],0.0012411337811499834,-0.2282203733921051,-1.3669512271881104,0.0014367277035489678,,
b=+0.2 *,D-LoRA (gelernt),0.0017582946456968784,-0.7120116949081421,-2.294912576675415,0.0022404261399060488,,0.00040619319770485163
b=+0.3 *,Summe (Baseline),0.0012412375072017312,0.6508346199989319,0.4457428455352783,0.024271350353956223,,
b=+0.3 *,Referenz [Summe|Differenz],0.0012367914896458387,0.4050711989402771,-0.09516000747680664,0.001479557016864419,,
b=+0.3 *,D-LoRA (gelernt),0.0017220440786331892,0.22504639625549316,-0.4074937105178833,0.0023556447122246027,,0.00050841283518821
b=+0.4 *,Summe (Baseline),0.00347401131875813,0.13897258043289185,-0.4268451929092407,0.02440427429974079,,
b=+0.4 *,Referenz [Summe|Differenz],0.0012303211260586977,0.6726146340370178,0.44122445583343506,0.0015272321179509163,,
b=+0.4 *,D-LoRA (gelernt),0.0018568069208413363,0.4831278622150421,0.10245388746261597,0.0028621735982596874,,0.0013887345558032393
b=+0.5 *,Summe (Baseline),0.017153838649392128,-2.2179057598114014,-4.1089324951171875,0.023148423060774803,,
b=+0.5 *,Referenz [Summe|Differenz],0.001214448711834848,0.773547351360321,0.6419457197189331,0.001483492087572813,,
b=+0.5 *,D-LoRA (gelernt),0.0015871634241193533,0.6952074766159058,0.5084816217422485,0.0027142653707414865,,0.0007676290115341544
b=+0.6 *,Summe (Baseline),0.04218919202685356,-4.8383684158325195,-7.5490827560424805,0.021661773324012756,,
b=+0.6 *,Referenz [Summe|Differenz],0.0012237804476171732,0.8305283784866333,0.7516474723815918,0.0016374294646084309,,
b=+0.6 *,D-LoRA (gelernt),0.0017399200005456805,0.7576615810394287,0.6425566077232361,0.003150870557874441,,0.0037906868383288383
b=+0.7 *,Summe (Baseline),0.0792497918009758,-8.312200546264648,-11.554262161254883,0.018588662147521973,,
b=+0.7 *,Referenz [Summe|Differenz],0.001236460404470563,0.8558409214019775,0.8085609078407288,0.0016475097509101033,,
